key	FR	EN	DE
langcode	fr	en	de
Type of test:	Type de test :	Type of test:	Art des Tests:
Test page name: 	Nom de la page de test : 	Test page name: 	Testseiten-Name: 
Test page code: 	Code de la page de test : 	Test page code: 	Testseiten-Code: 
tests	tests	tests	Tests
test	test	test	Test
test takers	participants	test takers	Teilnehmer
Monitoring	Suivi d’activités	Monitoring	Überwachung
activity tracker	activités	activity tracker	Aktivitäten
test results	résultats du test	test results	Testergebnisse
Version	version	Version	Version
Please make a choice from the menu	Veuillez faire un choix dans le menu	Please make a choice from the menu	Bitte treffen Sie eine Auswahl im Menü
please wait	Veuillez patienter…	please wait ...	Bitte warten...
Media Library	médiathèque	Media Library	Medienbibliothek
Upload	télécharger	Upload	Hochladen
preview:	Aperçu :	preview:	Vorschau:
Select a file	Sélectionnez un fichier	Select a file	Datei auswählen
nothing_selected	Rien n’est sélectionné… rien n’est copié dans le presse-papier !	Nothing selected ... nothing copied to clipboard!	Nichts ausgewählt... nichts in die Zwischenablage kopiert!
folders	Dossiers	folders	Ordner
folder	Dossier	folder	Ordner
copied to clipboard for moving	pour un déplacement, copié(s) dans le presse-papier	copied to clipboard for moving	zum Verschieben in die Zwischenablage kopiert
copied to clipboard for duplication	pour une duplication, copié(s) dans le presse-papier	copied to clipboard for duplication	zum Duplizieren in die Zwischenablage kopiert
action_not_completed	L'opération n'a malheureusement pas pu être effectuée.	Sorry! The action cannot be completed!	Leider konnte der Vorgang nicht beendet werden.
Deletion successful!	Suppression réussie !	Deletion successful!	Löschen erfolgreich.
Name	Nom	Name	Name
You typed :	Vous avez utilisé :	You typed:	Sie benutzten:
Close group	Fermer la groupe	Close group	Gruppe schließen
Close editor	Fermer l'éditeur	Close editor	Editor schließen
Delete language	Supprimer la langue	Delete language	Sprache löschen
code	code	Code	Code
languages	Langues	Languages	Sprachen
Rename folder	Renommer le dossier	Rename folder	Verzeichnis umbenennen
supp_lang	Les langues suivantes sont supportées. Choisissez celle que vous voulez ajouter.	The following languages are supported. Please choose which one you want to add.	Die folgenden Sprachen werden unterstützt. Wählen Sie, welche Sie hinzufügen wollen.
Add new language	Ajouter une langue	Add new language	Sprache hinzufügen
Available pages:	Pages de test disponibles :	Available pages:	Vorhandene Testseiten:
browsing tests	Aperçu	browsing tests	Übersicht
Close test	Fermer le test	Close test	Test schließen
Close Pool-Editor	Fermer le Pool Editor	Close Pool-Editor	Pool Editor schließen
Close Label-Editor	Fermer le Label Editor	Close Label-Editor	Label Editor schließen
Close Variables	Fermer les variables	Close Variables	Variablen schließen
Test Variables	Variables de test	Test Variables	Test Variablen
Create/Edit Testpools	Créer/Modifier Testpools	Create/Edit Testpools	Testpools bearbeiten
Preview test	Aperçu du test	Preview test	Test Vorschau
Tests	Tests	Tests	Tests
Test structure (Linear Test)	Structure du test (Test linéaire)	Test structure (Linear Test)	Teststruktur (Linearer Test)
Testpools	Testpools	Testpools	Testpools
Test structure (Fluid test)	Structure du test (Fluid Test)	Test structure (Fluid test)	Teststruktur (Fuid Test)
Test-Labels	Test-Labels	Test-Labels	Test-Labels
Test-Variables	Variables de test	Test-Variables	Test Variablen
Timer	Minuteur	Timer	Timer
Use timer	Utiliser le minuteur	Use timer	Timer benutzen
Time limit (minutes)	Limit de temps (minutes)	Time limit (minutes)	Zeitlimit(Minuten)
Save results	Sauvegarder les résultats	Save results	Ergebnisse speichern
Limit navigation	Limiter la navigation	Limit navigation	Navigation beschränken
Show score	Afficher le score	Show score	Score anzeigen
Change skin	Modifier le skin	Change skin	Skin ändern
Add testpool	Ajouter le testpool	Add testpool	Testpool hinzufügen
Test page	Page de test	Test page	Testseite
Page group	Groupe	Page group	Gruppe
Reset individual skin overrides	Réinitialiser les paramètres individuels du skin	Reset individual skin overrides	Individuelle Skin Einstellungen zurücksetzen
Add test pages	Ajouter des pages de test	Add test pages	Testseiten hinzufügen
Testpool	testpool	Testpool	Testpool
Pages used	Pages utilisées	Pages used	Seiten genutzt
Pages total	Total de pages	Pages total	Seiten gesamt
pages used	pages utilisées	pages used	Seiten genutzt
pages total	total de pages	pages total	Seiten gesamt
Pool-Editor for fluid test:	Pool Editor pour le Fluid Test:	Pool-Editor for fluid test:	Pool Editor für Fluid Test:
Label-Editor for test:	Label Editor pour le test:	Label-Editor for test:	Label Editor für Test:
Add fluid test blocks	Ajouter les blocs du Fluid test	Add fluid test blocks	Fluid Test Blöcke hinzufügen
Variables for test:	Variables pour le test	Variables for test:	Variablen für Test
test taker recorded.	Participant enregistré	test taker recorded.	Teilnehmer aufgezeichnet
test takers recorded.	Participants enregistrés	test takers recorded.	Teilnehmern aufgezeichnet
Skin Name	Nom du skin	Skin Name	Name des Skins
Please modify string for skin option	Veuillez changer le string pour l'option du skin	Please modify string for skin option	Bitte ändern Sie den String für die Skin Option
Please modify range for skin option	Veuillez changer la domaine pour l'option du skin	Please modify range for skin option	Bitte ändern Sie den Bereich für die Skin Option
Modify string	Modifier le string	Modify string	String ändern
Modify range	Modifier la domaine	Modify range	Bereich ändern
Localized content for variable:	Contenu localisé pour la variable:	Localized content for variable:	Übersetzter Inhalt für Variable:
Edit localization content variables	Modifier les variables pour le contenu localisé	Edit localization content variables	Übersetzungen der Variable bearbeiten
Set fluid block	Fluid Bloc	Set fluid block	Fluid Block
on_fixed_position	En position fixe. Tous les autres fluid blocs se déroulent en ordre aléatoire!	on fixed position! All other fluid blocks will run in random order!	auf feste Position setzen. Alle anderen Fluid Blöcke werden in zufälliger Reihenfolge ausgeführt!
